,site,plot,tag,species,dbh,high.rep,molecular,longitude,latitude,time.point,days_elapsed,years_elapsed,litterMass,dowelMass,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,k_litter,VWC,pH,WHC,SIR,soil.N,soil.C,soil.CN,litter.d15N,litter.d13C,litter.N,litter.C,litter.CN,lignin.N
17,BART,3,24,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,1,299,0.819178082,3.556478684,2.001091034,2.238194309,38.62503219,0.194908966,8.875635988,0.595924299,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
18,BART,3,25,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,2,649,1.778082192,2.1893,0.8249,3.578648905,62.04369983,1.4701,64.05664488,0.544819968,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
19,BART,3,26,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,1,299,0.819178082,3.634276748,2.338584271,2.04904588,36.05366111,0.064415729,2.680637904,0.545822598,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
20,BART,3,27,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,1,299,0.819178082,3.238866396,2.105917455,2.457818275,43.14471341,0.090082545,4.102119542,0.689301863,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
21,BART,3,28,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,1,299,0.819178082,3.793164647,2.033709204,1.974784258,34.23720096,0.261290796,11.38521987,0.511629743,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
22,BART,3,30,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,2,649,1.778082192,2.9424,1.775,2.749830657,48.30848964,0.358,16.78387248,0.371117056,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
23,BART,3,32,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,2,649,1.778082192,2.963727574,1.533528447,2.737411112,48.01516439,0.590471553,27.79997898,0.367934697,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
24,BART,3,33,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,1,299,0.819178082,3.205889391,2.022546196,2.584329587,44.63267445,0.119453804,5.576741573,0.721675263,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
25,BART,3,34,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,1,299,0.819178082,3.162701224,2.346392219,2.458265199,43.73385311,0.038607781,1.618774882,0.702017233,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
26,BART,3,37,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,2,649,1.778082192,2.803,1.5694,2.875868613,50.64157685,0.5276,25.15975203,0.397091741,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
